# NOTICE: This dataset is synthetic development data and is not representative of real-world candidate populations.
sample_id,topic,question_difficulty,difficulty_numeric,attempt_number,technical_score,relevance_score,completeness_score,clarity_score,communication_score,answer_length,keyword_coverage,previous_score,average_previous_score,topic_accuracy,composite_score,readiness_label
19,Cloud & DevOps,Easy,1,5,74.41,73.16,74.4,71.4,67.84,71,0.301,64.16,69.29,82.57,69.16,Almost Ready
20,SQL & DBMS,Easy,1,4,30.36,40.33,26.45,30.6,35.37,49,0.227,20.0,25.18,36.76,30.38,Needs Improvement
21,Generative AI & RAG,Easy,1,2,38.55,43.23,28.94,41.05,40.09,38,0.393,47.54,43.04,40.08,37.25,Needs Improvement
22,Python & OOP,Hard,3,5,61.98,68.64,57.79,58.99,68.65,53,0.525,59.96,60.97,57.67,61.02,Almost Ready
23,System Design,Medium,2,5,94.77,94.23,88.08,67.32,75.22,78,0.623,96.79,95.78,90.74,86.05,Interview Ready
24,System Design,Hard,3,5,43.46,48.88,40.27,33.19,33.64,64,0.186,29.89,36.67,35.55,39.47,Needs Improvement
25,Cloud & DevOps,Medium,2,3,49.96,60.92,37.37,37.5,37.39,40,0.505,44.22,47.09,42.5,46.64,Needs Improvement
26,Generative AI & RAG,Hard,3,5,72.78,82.58,63.92,57.73,54.64,73,0.372,84.21,78.49,73.9,66.06,Almost Ready
27,Machine Learning & AI,Easy,1,2,48.4,60.11,53.04,65.65,63.05,75,0.42,70.3,59.35,44.36,53.14,Needs Improvement
28,Generative AI & RAG,Hard,3,2,45.75,49.66,44.83,67.36,75.06,50,0.37,50.67,48.21,54.18,48.86,Needs Improvement
29,Python & OOP,Easy,1,3,48.85,51.21,58.6,45.68,56.29,62,0.498,51.04,49.95,46.43,51.8,Needs Improvement
30,System Design,Hard,3,4,76.82,84.7,60.67,66.39,64.45,61,0.539,70.11,73.47,59.43,70.01,Almost Ready
31,Machine Learning & AI,Hard,3,2,33.61,33.23,52.46,51.1,50.76,72,0.355,44.2,38.9,24.82,41.07,Needs Improvement
32,Generative AI & RAG,Medium,2,3,86.77,90.21,97.43,66.22,57.99,80,0.689,86.44,86.61,77.67,84.67,Interview Ready
33,Generative AI & RAG,Hard,3,2,29.0,26.55,30.05,35.73,47.77,50,0.396,35.16,32.08,26.36,31.57,Needs Improvement
34,Generative AI & RAG,Easy,1,1,40.55,46.63,25.59,51.67,53.42,48,0.508,60.29,50.42,44.81,40.5,Needs Improvement
35,Cloud & DevOps,Hard,3,3,49.55,66.8,42.76,52.04,40.89,80,0.385,39.83,44.69,49.95,49.15,Needs Improvement
36,SQL & DBMS,Medium,2,1,90.76,93.47,77.21,87.82,85.19,90,0.842,99.86,95.31,86.39,86.54,Interview Ready
37,Generative AI & RAG,Hard,3,1,39.51,40.18,29.49,48.29,42.43,8,0.36,35.89,37.7,38.31,37.78,Needs Improvement
38,Cloud & DevOps,Medium,2,3,51.64,51.37,25.12,65.1,69.44,65,0.522,54.38,53.01,54.47,47.26,Needs Improvement
39,Machine Learning & AI,Medium,2,5,47.84,54.69,36.51,64.04,67.64,54,0.422,41.32,44.58,48.08,48.08,Needs Improvement
40,Python & OOP,Medium,2,5,55.84,55.38,59.36,42.5,47.68,86,0.206,47.87,51.85,57.69,51.39,Needs Improvement
41,System Design,Medium,2,4,51.59,56.61,43.88,38.65,38.05,58,0.287,59.79,55.69,43.05,46.15,Needs Improvement
42,SQL & DBMS,Easy,1,3,31.61,47.86,45.59,25.0,30.0,8,0.138,32.16,31.89,24.22,35.02,Needs Improvement
43,Cloud & DevOps,Easy,1,2,71.2,75.29,69.44,59.89,56.79,86,0.463,75.99,73.6,72.87,67.03,Almost Ready
44,Machine Learning & AI,Medium,2,2,71.23,68.36,63.23,77.23,83.77,62,0.715,84.79,78.01,67.36,70.06,Almost Ready
45,Machine Learning & AI,Easy,1,3,39.87,46.79,35.37,38.58,33.82,93,0.277,40.96,40.42,43.5,38.13,Needs Improvement
46,Generative AI & RAG,Medium,2,1,72.64,83.71,82.98,56.08,52.15,64,0.501,83.58,78.11,68.66,71.95,Almost Ready
47,Generative AI & RAG,Easy,1,1,77.45,71.12,48.39,77.7,84.35,92,0.543,88.26,82.85,68.23,67.29,Almost Ready
48,Cloud & DevOps,Hard,3,5,26.08,28.09,22.08,37.05,34.99,47,0.197,32.82,29.45,20.0,26.29,Needs Improvement
49,SQL & DBMS,Medium,2,2,93.1,100.0,100.0,83.96,64.56,86,0.798,100.0,96.55,86.47,92.19,Interview Ready
50,System Design,Easy,1,3,49.85,53.03,39.51,47.93,50.53,57,0.47,39.32,44.58,53.92,47.3,Needs Improvement
51,Machine Learning & AI,Medium,2,4,55.33,54.38,42.89,37.08,49.67,31,0.322,42.52,48.92,64.1,47.66,Needs Improvement
52,System Design,Medium,2,5,20.0,25.39,20.0,25.0,30.0,29,0.1,20.0,20.0,20.0,20.81,Needs Improvement
53,Generative AI & RAG,Easy,1,1,63.66,73.28,70.02,67.92,77.8,73,0.68,81.77,72.71,63.55,68.25,Almost Ready
54,Python & OOP,Hard,3,3,55.72,72.51,62.4,60.45,70.88,55,0.338,45.83,50.78,56.46,58.95,Almost Ready
55,SQL & DBMS,Medium,2,3,64.7,72.19,74.21,56.37,61.7,29,0.463,67.06,65.88,65.87,65.38,Almost Ready
56,SQL & DBMS,Easy,1,5,36.64,35.41,24.14,43.5,51.41,24,0.191,56.1,46.37,40.66,33.0,Needs Improvement
57,SQL & DBMS,Medium,2,2,56.57,57.71,53.62,42.18,59.82,43,0.38,70.14,63.36,54.78,52.88,Needs Improvement
58,Cloud & DevOps,Medium,2,1,42.42,45.9,47.54,45.99,40.28,94,0.531,43.88,43.15,50.99,45.54,Needs Improvement
59,Python & OOP,Medium,2,1,65.6,61.48,84.98,65.99,63.92,46,0.584,58.96,62.28,64.1,69.07,Almost Ready
60,Cloud & DevOps,Hard,3,3,53.67,45.07,38.8,54.27,60.37,65,0.452,52.7,53.18,53.94,48.21,Needs Improvement
61,SQL & DBMS,Medium,2,2,68.66,71.04,69.3,81.63,84.21,49,0.683,93.2,80.93,69.51,71.22,Almost Ready
62,System Design,Hard,3,1,23.47,25.67,29.6,25.0,30.0,29,0.222,28.54,26.0,22.47,25.69,Needs Improvement
63,SQL & DBMS,Medium,2,5,27.25,30.86,28.21,33.06,35.32,62,0.24,35.87,31.56,30.17,28.69,Needs Improvement
64,SQL & DBMS,Easy,1,5,40.35,48.27,40.91,47.67,56.68,76,0.354,38.68,39.51,41.08,42.73,Needs Improvement
65,Cloud & DevOps,Hard,3,3,78.57,89.24,76.29,79.59,73.43,100,0.744,100.0,89.28,79.81,79.03,Interview Ready
66,System Design,Medium,2,3,45.59,45.91,43.33,66.74,62.58,68,0.436,39.72,42.65,55.14,47.84,Needs Improvement
67,System Design,Medium,2,4,42.54,52.3,33.43,53.97,60.04,55,0.492,43.62,43.08,36.14,44.41,Needs Improvement
68,System Design,Hard,3,5,58.96,73.04,45.33,58.95,56.8,75,0.616,62.5,60.73,57.52,57.81,Needs Improvement
69,Python & OOP,Easy,1,1,35.91,36.02,46.55,25.0,30.08,45,0.455,50.92,43.41,38.13,38.16,Needs Improvement
70,Python & OOP,Medium,2,1,36.1,36.79,35.05,25.0,32.41,59,0.166,40.79,38.44,36.91,32.7,Needs Improvement
71,System Design,Hard,3,4,66.51,69.89,55.49,65.47,73.92,87,0.509,69.27,67.89,62.52,62.97,Almost Ready
72,SQL & DBMS,Medium,2,2,64.68,74.21,61.71,77.39,78.21,103,0.64,86.51,75.59,59.52,67.24,Almost Ready
73,Python & OOP,Easy,1,4,64.47,61.87,67.25,42.08,47.47,47,0.417,75.78,70.13,63.1,59.41,Almost Ready
74,SQL & DBMS,Medium,2,3,68.2,88.88,60.52,63.03,74.44,38,0.63,72.6,70.4,63.76,68.66,Almost Ready
75,Cloud & DevOps,Medium,2,5,20.19,25.0,28.68,36.92,46.57,39,0.1,20.0,20.09,20.0,25.01,Needs Improvement
76,System Design,Easy,1,3,90.06,88.77,78.19,76.92,89.22,124,0.671,84.53,87.29,80.46,83.24,Interview Ready
77,Machine Learning & AI,Medium,2,5,63.3,69.83,60.34,56.67,50.84,96,0.39,70.38,66.84,68.15,59.83,Almost Ready
78,System Design,Medium,2,3,66.86,67.15,64.2,67.51,65.77,66,0.746,74.58,70.72,71.44,67.02,Almost Ready
79,Cloud & DevOps,Hard,3,2,100.0,100.0,86.64,91.89,87.57,80,0.929,98.97,99.49,99.87,94.52,Interview Ready
80,Python & OOP,Medium,2,1,71.75,73.2,69.38,76.81,83.84,114,0.536,67.35,69.55,76.78,70.67,Almost Ready
81,SQL & DBMS,Medium,2,1,34.91,27.8,22.51,42.15,47.57,57,0.299,36.12,35.52,29.77,31.6,Needs Improvement
82,SQL & DBMS,Medium,2,5,52.67,53.84,37.03,62.54,65.56,59,0.655,68.01,60.34,52.96,51.85,Needs Improvement
83,Machine Learning & AI,Hard,3,5,70.74,87.72,73.27,89.28,94.74,85,0.777,56.77,63.76,70.27,77.67,Almost Ready
84,Generative AI & RAG,Hard,3,1,76.28,83.9,64.82,78.03,75.73,114,0.584,76.91,76.6,68.32,72.92,Almost Ready
85,Python & OOP,Easy,1,2,41.41,45.16,33.54,45.81,51.07,53,0.353,36.78,39.09,36.0,40.32,Needs Improvement
86,Python & OOP,Easy,1,3,61.68,59.2,61.6,61.69,67.21,76,0.435,50.4,56.04,61.27,59.74,Almost Ready
87,System Design,Medium,2,5,66.81,73.16,52.1,80.6,74.49,94,0.531,76.57,71.69,72.33,64.47,Almost Ready
88,Cloud & DevOps,Medium,2,2,57.79,56.53,48.51,66.8,64.24,75,0.532,64.81,61.3,52.32,56.05,Needs Improvement
89,Machine Learning & AI,Easy,1,4,88.05,80.28,95.85,86.74,86.78,63,0.819,85.05,86.55,76.38,88.02,Interview Ready
90,Machine Learning & AI,Medium,2,2,41.95,41.06,40.41,44.81,42.7,53,0.371,35.13,38.54,36.08,41.27,Needs Improvement
91,Cloud & DevOps,Medium,2,2,46.07,53.95,46.11,49.24,61.38,98,0.432,21.39,33.73,53.45,48.05,Needs Improvement
92,Cloud & DevOps,Medium,2,1,79.61,79.33,84.44,82.17,84.89,68,0.882,93.51,86.56,82.4,82.16,Interview Ready
93,Machine Learning & AI,Medium,2,5,70.41,72.29,66.92,80.09,81.67,92,0.669,50.66,60.54,70.66,71.0,Almost Ready
94,Generative AI & RAG,Easy,1,1,20.19,25.0,20.0,44.1,54.34,35,0.156,20.0,20.09,24.46,24.51,Needs Improvement
95,Generative AI & RAG,Medium,2,3,68.76,67.3,59.43,72.21,79.91,90,0.728,75.5,72.13,62.91,67.51,Almost Ready
96,System Design,Easy,1,5,24.85,25.0,20.0,25.0,30.0,8,0.145,24.7,24.78,27.75,22.89,Needs Improvement
97,Generative AI & RAG,Medium,2,2,71.05,68.45,63.06,66.39,67.35,113,0.516,54.91,62.98,67.7,66.07,Almost Ready
98,Generative AI & RAG,Easy,1,3,82.22,98.16,72.77,91.2,94.99,117,0.885,76.18,79.2,81.84,84.41,Interview Ready
99,System Design,Hard,3,4,40.37,44.48,38.49,61.66,60.0,92,0.617,20.0,30.18,41.24,45.76,Needs Improvement
100,Machine Learning & AI,Medium,2,2,60.12,68.89,55.64,57.47,57.25,49,0.524,56.47,58.29,55.92,59.13,Almost Ready
101,Generative AI & RAG,Hard,3,4,73.28,74.62,72.05,81.87,89.03,70,0.648,76.11,74.69,72.54,73.97,Almost Ready
102,Python & OOP,Hard,3,3,31.37,36.31,21.23,39.51,41.27,36,0.237,37.03,34.2,22.57,30.12,Needs Improvement
103,SQL & DBMS,Medium,2,2,57.52,53.18,51.64,54.7,53.21,79,0.64,61.47,59.5,63.51,55.55,Needs Improvement
104,Generative AI & RAG,Medium,2,5,61.99,69.33,54.64,84.28,83.88,83,0.696,57.83,59.91,56.09,65.34,Almost Ready
105,Cloud & DevOps,Medium,2,3,67.85,68.95,61.65,71.8,88.87,70,0.586,68.51,68.18,67.0,66.98,Almost Ready
106,SQL & DBMS,Medium,2,3,40.98,37.13,35.24,33.81,30.0,45,0.279,31.91,36.45,46.27,36.39,Needs Improvement
107,SQL & DBMS,Medium,2,5,82.79,91.04,81.99,77.38,82.45,65,0.805,99.53,91.16,80.73,83.05,Interview Ready
108,Python & OOP,Hard,3,4,58.16,62.1,57.15,78.0,80.86,81,0.634,48.62,53.39,53.39,62.14,Almost Ready
109,System Design,Easy,1,3,75.57,77.55,72.73,71.91,62.22,97,0.739,68.29,71.93,75.9,73.96,Almost Ready
110,Python & OOP,Medium,2,5,57.93,65.7,42.65,66.61,60.47,80,0.543,50.59,54.26,53.88,55.91,Needs Improvement
111,System Design,Easy,1,1,45.3,52.45,42.88,42.25,39.28,54,0.262,20.0,32.65,43.05,43.25,Needs Improvement
112,Machine Learning & AI,Medium,2,2,84.42,95.81,80.94,64.94,66.58,63,0.643,96.04,90.23,80.58,80.4,Interview Ready
113,Cloud & DevOps,Medium,2,4,28.03,34.09,26.88,34.25,35.88,28,0.251,36.84,32.43,20.0,29.38,Needs Improvement
114,Cloud & DevOps,Easy,1,2,60.92,62.37,50.35,59.12,66.72,92,0.438,65.76,63.34,56.68,56.89,Needs Improvement
115,Generative AI & RAG,Hard,3,5,29.39,29.97,20.0,38.53,52.9,22,0.258,43.51,36.45,35.13,28.85,Needs Improvement
116,Machine Learning & AI,Hard,3,2,80.53,83.72,74.12,86.43,89.78,64,0.687,83.39,81.96,78.38,79.27,Interview Ready
117,System Design,Medium,2,2,23.38,32.63,20.0,25.0,30.0,26,0.237,21.69,22.53,20.0,24.44,Needs Improvement
118,Generative AI & RAG,Easy,1,3,70.96,71.03,69.64,61.16,66.18,91,0.546,65.93,68.44,78.18,67.78,Almost Ready
119,SQL & DBMS,Hard,3,4,62.79,67.87,44.74,48.09,46.66,38,0.462,52.65,57.72,62.54,55.1,Needs Improvement
120,Cloud & DevOps,Medium,2,5,49.71,52.94,47.1,59.83,67.49,97,0.398,40.6,45.16,50.17,50.45,Needs Improvement
121,SQL & DBMS,Easy,1,3,36.88,34.69,36.73,38.47,45.88,45,0.28,30.38,33.63,33.21,36.24,Needs Improvement
122,Python & OOP,Medium,2,3,71.57,76.16,73.35,75.64,93.77,41,0.556,70.19,70.88,76.33,72.62,Almost Ready
123,Python & OOP,Medium,2,1,56.85,50.23,50.63,52.49,67.52,62,0.494,62.36,59.6,60.88,53.65,Needs Improvement
124,Python & OOP,Hard,3,3,77.76,77.39,94.27,81.29,67.5,114,0.992,72.91,75.34,81.64,83.82,Interview Ready
125,Generative AI & RAG,Hard,3,1,32.08,40.2,29.27,49.28,52.45,68,0.295,26.18,29.13,39.48,35.07,Needs Improvement
126,Machine Learning & AI,Hard,3,2,71.28,80.59,58.47,71.96,77.17,89,0.466,73.21,72.24,67.18,67.37,Almost Ready
127,Machine Learning & AI,Easy,1,3,59.87,71.9,67.84,75.08,78.48,90,0.467,59.94,59.9,56.81,64.8,Almost Ready
128,Python & OOP,Easy,1,1,52.53,55.33,46.66,59.62,50.33,56,0.513,61.08,56.81,58.97,51.95,Needs Improvement
129,System Design,Medium,2,3,41.49,37.92,35.1,61.63,66.8,68,0.27,34.56,38.02,49.42,41.19,Needs Improvement
130,Cloud & DevOps,Easy,1,3,75.32,72.53,67.45,79.87,80.9,57,0.792,86.42,80.87,69.4,74.06,Almost Ready
131,Cloud & DevOps,Easy,1,3,33.29,33.52,28.88,25.0,30.0,22,0.116,37.38,35.34,27.8,29.06,Needs Improvement
132,Machine Learning & AI,Medium,2,5,66.35,68.79,64.41,57.54,64.96,32,0.34,68.18,67.27,60.45,62.04,Almost Ready
133,SQL & DBMS,Easy,1,5,60.06,57.82,44.71,63.98,66.35,86,0.677,41.81,50.94,59.03,57.36,Needs Improvement
134,Generative AI & RAG,Hard,3,2,80.98,81.29,65.5,66.75,65.34,43,0.589,83.64,82.31,89.82,72.74,Almost Ready
135,SQL & DBMS,Easy,1,3,44.36,40.33,40.24,50.85,54.38,76,0.265,35.93,40.15,43.25,42.09,Needs Improvement
136,SQL & DBMS,Medium,2,3,72.13,84.24,83.39,65.44,75.78,52,0.498,79.36,75.75,67.82,74.05,Almost Ready
137,Python & OOP,Medium,2,2,81.21,79.0,90.23,73.79,83.04,50,0.642,82.66,81.93,80.39,80.79,Interview Ready
138,System Design,Easy,1,2,42.14,33.78,40.06,49.23,46.33,70,0.467,26.07,34.11,38.33,41.75,Needs Improvement
139,Python & OOP,Medium,2,1,65.8,67.64,59.42,47.13,52.94,43,0.516,68.58,67.19,50.71,60.56,Almost Ready
140,System Design,Easy,1,4,68.51,76.36,55.75,71.89,76.92,96,0.806,50.18,59.35,68.37,68.47,Almost Ready
141,SQL & DBMS,Medium,2,2,68.03,71.12,72.62,67.03,63.88,102,0.621,60.25,64.14,73.17,68.74,Almost Ready
142,Python & OOP,Medium,2,4,32.62,35.23,46.46,48.11,42.14,55,0.206,36.45,34.53,28.6,37.29,Needs Improvement
143,Cloud & DevOps,Hard,3,1,51.54,49.53,44.96,54.07,43.08,86,0.351,65.71,58.62,54.78,47.78,Needs Improvement
144,Generative AI & RAG,Hard,3,4,53.45,57.28,46.39,74.27,70.32,84,0.511,56.43,54.94,50.28,54.95,Needs Improvement
145,Machine Learning & AI,Hard,3,1,54.32,64.5,48.03,66.18,71.88,77,0.522,49.44,51.88,56.52,56.13,Needs Improvement
146,Python & OOP,Hard,3,3,60.11,63.72,70.05,51.92,45.12,70,0.51,63.82,61.96,65.87,60.66,Almost Ready
147,Machine Learning & AI,Easy,1,2,53.92,57.82,44.34,70.7,73.73,52,0.451,54.18,54.05,58.12,53.9,Needs Improvement
148,Cloud & DevOps,Hard,3,4,60.31,56.49,47.85,68.93,73.2,97,0.629,53.25,56.78,60.62,58.39,Almost Ready
149,Cloud & DevOps,Easy,1,3,39.81,38.49,29.51,64.4,70.33,66,0.479,55.49,47.65,38.8,41.83,Needs Improvement
150,System Design,Medium,2,4,46.81,50.1,45.8,42.07,34.37,38,0.363,52.16,49.49,50.61,44.9,Needs Improvement
151,System Design,Hard,3,5,80.47,85.88,80.14,85.67,81.33,72,0.839,78.26,79.36,78.9,82.1,Interview Ready
152,Python & OOP,Medium,2,5,44.17,39.66,45.61,54.73,54.02,46,0.407,65.16,54.66,42.93,45.05,Needs Improvement
153,SQL & DBMS,Medium,2,2,54.88,65.81,63.66,57.81,48.61,89,0.465,62.79,58.83,48.82,57.86,Needs Improvement
154,System Design,Medium,2,3,83.52,84.08,85.7,84.65,90.16,129,0.614,74.53,79.03,76.87,82.38,Interview Ready
155,Generative AI & RAG,Hard,3,4,27.81,30.74,20.0,45.05,52.38,42,0.117,29.8,28.81,33.0,27.64,Needs Improvement
156,Machine Learning & AI,Easy,1,4,88.39,95.53,61.36,81.22,77.08,71,0.703,99.46,93.92,83.85,79.62,Interview Ready
157,System Design,Medium,2,2,20.0,25.0,20.0,25.0,31.23,18,0.1,21.42,20.71,20.0,20.81,Needs Improvement
158,Generative AI & RAG,Easy,1,1,62.28,58.93,64.7,69.52,64.29,66,0.506,64.49,63.39,66.48,62.04,Almost Ready
159,Machine Learning & AI,Medium,2,4,58.25,63.89,61.26,72.73,84.78,75,0.649,55.31,56.78,57.89,63.29,Almost Ready
160,Machine Learning & AI,Medium,2,3,39.84,43.13,35.9,34.5,40.69,55,0.331,34.58,37.21,40.77,38.18,Needs Improvement
161,Python & OOP,Easy,1,1,87.74,86.05,83.76,83.46,84.36,59,0.759,87.19,87.46,86.54,84.71,Interview Ready
162,Machine Learning & AI,Easy,1,1,72.94,81.63,62.38,63.22,63.74,66,0.581,75.05,74.0,79.87,68.68,Almost Ready
163,Generative AI & RAG,Hard,3,4,61.81,63.04,53.05,70.12,62.11,53,0.643,76.94,69.37,58.74,60.9,Almost Ready
164,Generative AI & RAG,Easy,1,4,20.0,25.0,20.0,28.9,36.59,12,0.205,23.96,21.98,20.0,22.52,Needs Improvement
165,Generative AI & RAG,Medium,2,4,42.12,49.99,27.78,41.36,52.59,21,0.183,47.63,44.88,43.82,37.78,Needs Improvement
166,Cloud & DevOps,Easy,1,1,76.87,79.61,59.09,83.21,88.65,84,0.786,73.53,75.2,85.37,74.24,Almost Ready
167,Generative AI & RAG,Medium,2,4,51.71,37.79,52.95,65.62,70.86,40,0.471,44.73,48.22,47.36,51.82,Needs Improvement
168,System Design,Easy,1,1,79.22,84.93,62.61,78.46,88.96,96,0.682,96.34,87.78,79.99,75.24,Almost Ready
169,Machine Learning & AI,Medium,2,2,63.62,73.26,65.39,90.79,88.29,98,0.577,69.01,66.31,64.54,68.87,Almost Ready
170,Cloud & DevOps,Medium,2,5,72.23,75.26,75.37,78.6,82.11,77,0.827,62.05,67.14,74.94,75.65,Almost Ready
171,Machine Learning & AI,Medium,2,1,39.28,36.24,25.23,35.76,30.0,8,0.293,34.35,36.82,42.13,33.5,Needs Improvement
172,SQL & DBMS,Medium,2,1,46.1,44.49,47.84,53.61,57.46,19,0.479,48.28,47.19,34.49,47.79,Needs Improvement
173,Cloud & DevOps,Medium,2,3,22.42,29.14,22.12,54.89,57.85,60,0.199,28.15,25.28,24.16,28.12,Needs Improvement
174,Python & OOP,Hard,3,1,66.52,63.39,57.94,68.53,65.33,54,0.667,82.08,74.3,73.22,64.07,Almost Ready
175,Generative AI & RAG,Easy,1,2,32.21,41.31,26.04,35.51,50.82,45,0.143,22.04,27.13,32.38,31.51,Needs Improvement
176,Cloud & DevOps,Hard,3,4,53.45,64.46,53.22,57.75,65.37,54,0.475,44.05,48.75,58.71,55.48,Needs Improvement
177,Cloud & DevOps,Easy,1,1,70.92,75.52,50.64,79.04,81.3,67,0.395,68.16,69.54,75.62,64.73,Almost Ready
178,Cloud & DevOps,Easy,1,4,58.77,57.79,52.12,71.67,67.21,55,0.422,44.06,51.42,67.58,57.02,Needs Improvement
179,Python & OOP,Medium,2,3,32.37,36.98,41.99,54.22,58.71,67,0.394,43.11,37.74,40.0,39.68,Needs Improvement
180,System Design,Easy,1,5,39.55,43.86,40.43,50.04,56.74,54,0.449,50.65,45.1,34.61,42.86,Needs Improvement
181,System Design,Medium,2,2,73.36,81.46,67.95,70.89,73.07,90,0.667,72.54,72.95,76.08,72.29,Almost Ready
182,Cloud & DevOps,Medium,2,4,45.88,39.69,40.56,56.43,63.82,29,0.423,51.16,48.52,49.57,45.22,Needs Improvement
183,Cloud & DevOps,Medium,2,3,55.23,63.84,49.39,71.79,80.46,82,0.624,72.5,63.86,55.75,58.7,Almost Ready
184,SQL & DBMS,Medium,2,4,86.14,94.51,87.56,89.45,91.37,84,0.581,92.52,89.33,85.18,85.54,Interview Ready
185,Generative AI & RAG,Easy,1,3,79.41,81.18,75.45,70.96,76.92,45,0.501,97.09,88.25,76.94,74.78,Almost Ready
186,SQL & DBMS,Easy,1,5,40.31,46.67,23.07,45.89,54.6,63,0.404,56.28,48.29,46.25,38.24,Needs Improvement
187,Cloud & DevOps,Medium,2,2,44.38,39.51,48.19,49.99,45.86,30,0.402,53.9,49.14,46.75,44.81,Needs Improvement
188,SQL & DBMS,Medium,2,4,35.94,57.31,22.01,44.44,36.51,65,0.378,43.59,39.76,35.57,36.73,Needs Improvement
189,Machine Learning & AI,Hard,3,5,37.82,34.04,39.43,43.43,40.61,65,0.24,40.35,39.09,41.92,36.97,Needs Improvement
190,Generative AI & RAG,Easy,1,4,43.46,45.28,37.61,45.0,45.94,26,0.363,40.61,42.04,43.15,41.83,Needs Improvement
191,Cloud & DevOps,Easy,1,4,78.06,78.14,70.89,65.66,59.89,68,0.625,73.93,75.99,73.43,72.57,Almost Ready
192,System Design,Easy,1,1,64.76,69.57,62.42,88.01,92.11,55,0.584,47.0,55.88,59.78,67.95,Almost Ready
193,Cloud & DevOps,Medium,2,3,64.58,68.62,51.23,74.64,74.52,122,0.614,56.57,60.57,66.23,63.03,Almost Ready
194,Generative AI & RAG,Hard,3,3,54.15,57.34,65.71,49.94,58.53,57,0.426,53.33,53.74,55.23,56.16,Needs Improvement
195,SQL & DBMS,Medium,2,4,47.38,47.09,50.88,47.69,51.02,87,0.413,59.18,53.28,48.35,47.82,Needs Improvement
196,Generative AI & RAG,Medium,2,1,43.34,44.49,31.79,36.92,42.13,75,0.28,47.92,45.63,38.34,38.39,Needs Improvement
197,Generative AI & RAG,Medium,2,2,45.5,51.07,53.78,49.96,61.07,53,0.468,57.21,51.35,43.67,49.76,Needs Improvement
198,SQL & DBMS,Easy,1,3,65.0,73.32,55.14,66.52,68.86,62,0.661,62.81,63.91,57.23,64.24,Almost Ready
199,Python & OOP,Easy,1,1,62.2,60.31,53.28,70.08,69.16,97,0.466,69.74,65.97,56.61,59.26,Almost Ready
200,Cloud & DevOps,Medium,2,4,74.44,78.27,64.12,55.56,60.6,74,0.596,59.82,67.13,76.1,68.37,Almost Ready
201,Machine Learning & AI,Hard,3,2,61.21,57.68,45.7,51.2,48.41,43,0.32,50.26,55.74,62.71,52.24,Needs Improvement
